hatespeech,csType,counterspeech,hatespeechTarget,Emotion
Muslim rape our girls.,Questioning,Can you provide evidence that fat people are solely responsible for straining welfare? is it fair to generalize and advocate for getting rid of them?,muslims,anger
"Islam is the cause of wars because it promotes violence. Of pollution, because in the MiddleEast they have oil. It is the cause of anything!",Questioning,What evidence do you have to support that islam and christianity cannot coexist? isn't coexistence possible through understanding and respect?,muslims,anger
"Woman cant be trusted to run a country, or a major industry.",Positive,"I understand that you may have some concerns about women in leadership positions, but i truly believe that gender doesn't determine someone's ability to lead. in fact, there are countless examples of women who have excelled in running countries and major industries. let's focus on the qualities and skills that make a great leader, regardless of gender. by embracing diversity and giving everyone an equal chance, we can create a more inclusive and dynamic society. let's encourage and support each other to build a brighter future together!",women,joy
Im tired of woman taking part in political debate. Feminism is a divisive force in society.,Questioning,"A new social concept almost always brings division but this doesn't make it unworthy of implementation, does it? the abolition of slavery in the u.s. being the best example.",women,joy
"If youre an autistic adult, youre no good.",Positive,"I understand that everyone has their own opinions, but it's important to remember that being autistic doesn't make someone any less valuable or capable. in fact, many autistic adults bring unique perspectives and talents to the table. it's all about embracing diversity and understanding that we're all different, but still deserving of respect and kindness. let's focus on building a world where everyone feels included and appreciated.",people_with_mental_disability,joy
Black folks like stealing.,Questioning,"Which people are you talking about? i don't see black people keen on stealing from anyone, i have no idea who you are talking about.",black_people,surprise
"Migrants are all racist, they all want to see us disappear from the face of the earth.",Questioning,How accurate is this sweeping generalization? are there any counterexamples that disprove this claim?,immigrants,surprise
Gypsies are dirty,Positive,"If you ever come across a person who is roma, please interact with them in a positive manner and try to understand their problems. debunking stereotypes is the first step towards peace.",gypsies,joy
I hate when black people start acting like they are superior to others. They were born to be savages.,Informative,"Not all people have the same skin tone to begin with. all folks have their history, religion and culture. no race is more savage than any other.",black_people,anger
Muslims are a problem in the UK. They are mostly poor and live in shithole neighbourhoods. They are a problem because they are different from us.,Informative,"There are many muslims living in places such as islington, a london suburb, where there is a trendy area that has less crime and good schools.",muslims,sadness
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Informative,"Promoting hate towards any religious or ethnic group is not productive. islam is a diverse religion followed by billions worldwide, and the actions of a few extremists do not represent the beliefs and values of all muslims. in fact, the majority of muslims condemn terrorism and violence. muslims contribute to various aspects of society, including education, healthcare, sports, arts, and sciences, enriching the cultural fabric of britain. embracing diversity fosters a stronger and safer society for all.",muslims,sadness
"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here.",Positive,"Hi there! i understand that you have concerns about immigration in our country. it's important to remember that diversity can enrich our society in many ways. instead of seeing immigrants as enemies, let's try to understand their experiences and contributions. by fostering a sense of inclusivity, we can build a stronger and more harmonious community together. let's embrace dialogue and find common ground, so that we can work towards creating a society where everyone feels welcome and valued.",immigrants,joy
How can we not be Islamophobic when they really do want to kill us?,Informative,"Islam as a religion has never and will never promote violence, let alone killings. their religious texts only state peace and love among all humans and that is a fact.",muslims,sadness
It is okay to discriminate against Jews.,Positive,"I understand that we all have different perspectives, but it's important to promote understanding and acceptance rather than discrimination. discrimination harms individuals and communities, and it goes against the values of empathy and equal treatment. let's try to foster a society where everyone feels respected and valued, regardless of their background. open dialogue and learning about different cultures can help break down barriers and build bridges of understanding. together, we can create a world where diversity is celebrated and discrimination becomes a thing of the past.",jews,joy
Muslims threaten the civilised Europe,Positive,"I understand you might have concerns about the impact of diverse cultures in europe, but it's important to remember that generalizations can perpetuate stereotypes. as someone who values unity, i believe in fostering understanding and respect among different communities. let's focus on promoting dialogue and peaceful coexistence rather than fueling division. together, we can build a more inclusive and harmonious society where everyone's contributions are valued.",muslims,joy
Anyone who supports Jews should be excluded from our community.,Positive,"In this day and age when many people recognize themselves in minorities, it is important that we all show some respect for what is different about each other's cultures.",jews,disgust
Islam is run by monsters and terrorists. We must defeat them.,Positive,"I understand that you may have concerns about islam, but it's important to remember that labeling an entire religion based on the actions of a few is unfair. it's crucial to promote understanding and respect for all individuals, regardless of their beliefs. instead of spreading hate, let's focus on building bridges of dialogue and empathy. by engaging in civil conversations, we can challenge stereotypes and promote peace among different communities. together, we can create a more inclusive and compassionate society.",muslims,joy
"homosexuals should be isolated, isolated from society and should be isolated from the world.",Denouncing,"All individuals, regardless of sexual orientation, have the right to be treated with respect, acceptance, and have equal access to society and the world.",lgbtq+,anger
The West has been infiltrated by Muslims and is no longer the land of peace it was once.,Denouncing,The idea that the west has been infiltrated by muslims is a myth. the overwhelming majority of the world's muslims are peaceful and helpful people.,muslims,joy
Homosexuality is a disease!,Questioning,Are all immigrants breaking the law? what evidence supports expulsion as the solution for all immigrants?,lgbtq+,surprise
Migrant children shouldnt be accepted here.,Questioning,Why should someone's ancestry determine their right to live in a country? can you provide evidence to support your claim?,immigrants,anger
Immigration is the root of all the problems. They just want to come here and replace us.,Denouncing,"Diversity makes societies stronger. immigration brings cultural enrichment, economic growth, and strengthens communities through the contributions and talents of all individuals.",immigrants,joy
We need to purge foreigners from our countries.,Questioning,Shouldn't societies strive for inclusivity and mutual respect regardless of citizenship? what factors determine a person's worthiness to be welcomed?,immigrants,anger
"If you are Romani, you cant remain in the UK even if you want to live and work in the UK.",Informative,What about the rights of eu citizens? from your words it seems that not all of european have them.,other,anger
"Muslims should not be allowed to vote, for they have no place in our country.",Questioning,Since when has it been okay for people to be discriminated against based on their religion?,muslims,disgust
Muslims are a cancer on our race.,Positive,"I understand that everyone is entitled to their own opinions, but it's important to remember that making sweeping generalizations about any religious or racial group can be hurtful and unfair. as someone who believes in empathy and understanding, i encourage us to focus on building bridges rather than promoting division. let's strive for a world where we can appreciate our differences and find common ground. together, we can create a more inclusive and compassionate society.",muslims,sadness
I am offended by the thought that Muslim women are not allowed of having their hair down.,Questioning,Then you think it is okay to restrict a woman's free will in what she likes to wear if her choice is related to islam?,women,anger
Gays should not be part of our society.,Informative,"Lgbt individuals have been an integral part of society throughout history and continue to contribute in various fields. countless studies have shown that diversity and inclusion benefit communities and economies. in fact, research indicates that countries that promote lgbt rights tend to have higher levels of happiness, economic growth, and social stability. excluding any group based on sexual orientation denies our society the richness of their experiences and talents. it is essential to embrace diversity and create a society that respects and celebrates the contributions of all its members.",lgbtq+,joy
We should first kill all the Jews and then forget about them.,Questioning,"Isn't this the same logic that led to the rise of the nazis? would you really rather end up with a mass genocide, or try to be inclusive instead?",jews,disgust
We must be selective in welcoming fucking foreigners.,Questioning,Can we definitively attribute the entire country's crisis to migrants? what other factors contributed to the crisis?,immigrants,anger
"Fucking bleeding heart, why dont you host migrants in your house",Positive,"Beyond individual generosity, it is the duty of the state to take charge of vulnerable people, according to the constitution.",immigrants,disgust
We must stop Muslims from entering our country those refugees are killing our children and raping our mothers.,Informative,"It is important to have accurate information when discussing such matters. data shows that refugees, including those from muslim-majority countries, do not pose an increased threat of violence. in fact, studies indicate that refugees contribute to the economy and enrich the cultural fabric of their host countries. it is essential to base our opinions on facts rather than stereotypes. let's work towards a more inclusive society that values diversity and respects the fundamental rights of all individuals.",muslims,joy
The Holocaust never happened. Jews are an inferior race and cant be part of European countries.,Positive,"I understand that discussing sensitive historical events like the holocaust can bring up strong emotions. however, it's important to approach these topics with empathy and respect for those affected. let's remember that diversity enriches our societies and that europe has a long history of cultural exchange. by embracing inclusivity, we can build stronger communities together. if you have any questions or want to engage in a peaceful dialogue, i'm here to listen and share different perspectives. let's focus on fostering understanding and unity.",jews,joy
Jews have a lot in common with monkeys They are good at sex.,Denouncing,It is an unacceptable form of hate speech that promotes discrimination and ignorance.,jews,disgust
All these autistic people are endangering our society.,Informative,"Autism is a neurodevelopmental disorder that affects individuals differently. it is unfair and incorrect to label all autistic people as a threat to society. in fact, numerous studies have shown that individuals with autism can contribute positively to our communities. many autistic individuals possess unique talents and skills, such as exceptional attention to detail, problem-solving abilities, and creativity. by embracing diversity and promoting inclusivity, we can create a society where all individuals, including those with autism, can thrive and make valuable contributions.",people_with_mental_disability,joy
The holocaust was a hoax perpetrated by jews to subdue the world.,Informative,"The claim that the holocaust was a hoax is completely false and deeply offensive. the holocaust was a systematic genocide that resulted in the deaths of six million jews, along with millions of other innocent people. there is overwhelming historical evidence, including testimonies, photographs, concentration camp records, and nazi documentation, that confirms the reality and magnitude of the holocaust. denying or minimizing this tragedy not only disrespects the memory of the millions who suffered and perished, but also perpetuates hatred and anti-semitism. it's crucial to rely on accurate historical information to promote understanding and empathy.",jews,disgust
Feminists are violent subhuman sex beings.,Positive,"Feminist is a term used to describe people who take pride in their gender and desire the ability to have a stable and happy life, without discrimination.",women,disgust
We should institute Muslims ban in the UK. We are in danger of replacing the laws of Moses and Jesus.,Positive,"I understand your concerns, but it's important to approach this issue with empathy and understanding. diversity is a strength in our society, and it's crucial to respect people of all faiths. instead of focusing on differences, let's strive for unity and mutual respect. by fostering dialogue and learning from one another, we can build a harmonious community where everyone feels valued and safe. together, we can create a society that upholds the values of compassion and acceptance.",muslims,anger
"Asylum seekers are not welcome here, they are a problem.",Questioning,Why do you consider asylum seekers a problem? have you considered the reasons behind their seeking asylum and the potential positive contributions they can bring to our society?,refugees,anger
"Muslims are a problem in many European countries. They are mostly unemployed, live in poverty and dont have any assets.",Informative,"There is no recent evidence for this, it is proven that they are hardworking members of every community, do well for themselves, and are successful.",muslims,joy
"Fags, lesbians, trans are so few we better ignore them rather than waste time for their rights.",Informative,"There are many. moreover, lgbt people are not only excluded from many societies, but are also harassed and attacked all over the world.",lgbtq+,anger
Most of Europe hates muslims.,Positive,"I understand that you may have some concerns about muslims in europe, but it's important to remember that generalizations can often lead to misunderstandings. europe is a diverse continent with people from different backgrounds and beliefs. embracing empathy and understanding can help us build bridges instead of walls. let's focus on promoting inclusivity and fostering a sense of community, where everyone feels accepted and respected. together, we can break down stereotypes and embrace the diversity that makes our world so beautiful.",muslims,joy
Negroes only exist to serve their white masters.,Questioning,Who gave you the authority to command the lives of people whose only fault is that they are a different colour than you?,black_people,surprise
"The NHS is about caring for the sick, not migrants.",Positive,"I understand that you have concerns about the nhs and its resources, but let's try to approach this with empathy and understanding. the nhs is indeed about caring for the sick, regardless of their background. it's important to remember that migrants also contribute to the nhs, whether as healthcare workers or through paying taxes. by embracing diversity, we strengthen our healthcare system and create a more inclusive society. let's focus on finding common ground and working together towards a healthier future for everyone.",immigrants,joy
Muslims nobody want them but they are everywhere.,Denouncing,"It is important to recognize the diversity and contributions of muslims, promoting respect and inclusivity for all individuals regardless of their religious beliefs.",muslims,joy
Arabs want to take over the world.,Denouncing,"It is important to recognize that stereotypes and generalizations about any group of people are harmful and perpetuate division. we should promote understanding and respect for all individuals, regardless of their ethnicity or background.",asian_people,sadness
If Muslims came here they would be banned.,Informative,The freedom to worship is a fundamental human right. muslims have the same rights as anyone else.,muslims,joy
"Jews dont want their children to know about the Holocaust, guess why? Because its a hoax!",Questioning,Is there any evidence to support the claim that all jews universally hide the holocaust from their children? how can we validate this sweeping generalization?,jews,joy
To work with Jews and to ignore that they are too different from us is just stupid.,Questioning,Why do you believe jewish people are dangerous? can you provide evidence to support this claim?,jews,surprise
Gays are just a bunch of disgusting animals.,Informative,"Actually, that statement is not supported by any factual evidence. sexual orientation does not define someone's worth or humanity. gays, like any other group, are individuals with diverse talents, skills, and contributions to society. they have made significant contributions in various fields, including arts, sciences, politics, and more. it is important to promote respect and understanding for all individuals, regardless of their sexual orientation, and to avoid spreading harmful stereotypes or discrimination based on unfounded biases.",lgbtq+,anger
"Jews are not a religion, they are born like this and will never heal from their illness.",Informative,"Actually, judaism is one of the oldest monotheistic religions in the world, with a rich history and diverse beliefs. jewish people can be born into the faith, but they can also convert to judaism. judaism is not an illness; it is a deeply cherished religion and cultural identity. promoting understanding and respect for different religions and beliefs can foster a more inclusive society.",jews,joy
If a woman wants an abortion we will kill them.,Denouncing,"This is a terrible statement to make, you are just peddling misogyny and the amount of control you want over women's bodies is horrifying.",women,disgust
Black people are super predators. They have a responsibility not to allow their children to grow up in a ghetto.,Questioning,Is it fair or accurate to make such sweeping generalizations about an entire race of people based on the actions of a few individuals?,black_people,anger
Muslims are here to rule us with their religion.,Positive,Islam is not a 'problem'. the vast majority of muslims are peaceful.,muslims,joy
"If Muslims were only like other people with different religions, then they would stop trying to impose their religion on everyone else.",Questioning,Is it fair to generalize the beliefs of all muslims? how can we promote understanding and respect for different religious beliefs?,muslims,anger
I heard that the Quran promotes violence. It binds Muslims to a set of mandatory rules and an underlying attitude of aggression,Positive,"I understand that you have concerns about the quran promoting violence. it's important to approach such sensitive topics with an open mind and a willingness to learn. the quran, like any religious text, can be interpreted in various ways. however, it also emphasizes peace, compassion, and understanding. many muslims embrace these teachings and strive to promote harmony in their communities. if you're interested, i'd be happy to share some insights that highlight the diverse perspectives within islam. let's foster dialogue and understanding instead of promoting stereotypes.",muslims,joy
Muslims are here to rule us with their religion.,Denouncing,"We denounce any form of prejudice and discrimination against muslims. every individual, regardless of their religion, should be treated with respect, equality, and freedom in our diverse society.",muslims,surprise
Islam is a cancer on the European race.,Informative,"Islam is a diverse religion with followers from various ethnic backgrounds, including europeans. islam is not a threat or a cancer on any race, including the european race. generalizations like these overlook the individual beliefs, contributions, and positive influence that muslims have on european societies. it is essential to promote understanding, tolerance, and respect for diverse cultures and religions to foster inclusivity and harmony in our global community.",muslims,joy
Jews have always controlled the government and press.,Positive,"Like all forms of intolerance and discrimination, antisemitism has a profound impact on the whole of society, undermining democratic values and human rights.",jews,disgust
I wish we lived in an Islamfree Europe.,Questioning,"Would a 'muslim ban' make you feel safer? banning people, or forbidding a religion, will not fix any of your fears.",muslims,disgust
Allowing transgenders to use the toilet is a mans business,Denouncing,"Transgender individuals have the right to use the restroom that aligns with their gender identity, as mandated by inclusive and non-discriminatory policies.",lgbtq+,disgust
"We are being invaded by immigrants, they are invading our culture.",Informative,"Immigration has always been a part of human history and has enriched cultures across the globe. rather than invading, immigrants bring diverse perspectives, traditions, and skills that contribute to the cultural fabric of societies. cultural exchange through immigration allows for the growth and evolution of cultures, fostering tolerance and understanding among different groups of people. embracing diversity enhances our society, making it more vibrant and inclusive.",immigrants,joy
I cant stand people calling us transphobes just because we are neither faggots nor sodomites.,Positive,"I understand that you might feel frustrated when people label others as transphobes. it's important to remember that everyone is entitled to their own opinions and beliefs. however, using derogatory terms like faggots or sodomites can perpetuate negativity and harm. let's strive for a more understanding and inclusive dialogue where we can respectfully discuss our differences. together, we can create a world where everyone feels accepted and valued for who they are.",lgbtq+,anger
"Women are basically childlike, they need a man to take care of them.",Positive,"I will assume that you have had bad experiences in life that have led you believe this but this not true. women are self suffiecient and capable, and can very much make their own decisions and own to them.",women,joy
"Migrants have no place in our society, and this is their own fault.",Informative,"It is essential to approach the topic of migration with empathy and understanding. migrants contribute to our society in various ways, often filling gaps in the labor market and enriching our culture. it is unfair and inaccurate to generalize that migrants have no place in our society. factors like war, persecution, or seeking a better life often push people to migrate, and it is our collective responsibility to create an inclusive society that welcomes and supports them.",immigrants,sadness
We began to break down when we allowed women to votemeddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,Denouncing,Don't be a misogynist. stop spreading hate.,women,disgust
why do we never talk about femaleonmale rape? Isnt this a crime as well?,Questioning,Can't we be vocal about both aspects of the crime without gender being the deciding factor?,women,anger
The Koran is not about peace. It is about killing infidels.,Questioning,"Muslims are peaceful. the koran doesn't talk about killing infidels, why would it do that?",muslims,disgust
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,Denouncing,"Your way of thinking is wrong. gender and sexual orientation is not an idea or a belief, but a fact of life.",lgbtq+,disgust
I do not understand how a Muslim can be a good parent.,Denouncing,I am not sure i understand what you are saying.,muslims,surprise
What has feminism ever done for you?,Questioning,"Feminism is about the empowerment of women and having equal rights, what's not to like?.",women,disgust
Muslims just want to kill us all.,Positive,"I understand that you might have concerns or fears, but it's important to remember that generalizing an entire group of people based on the actions of a few isn't fair or accurate. as a muslim, i can assure you that our religion promotes peace, love, and understanding. just like any other community, there are good and bad individuals among us. let's try to build bridges instead of walls, and focus on fostering dialogue and mutual respect. together, we can overcome misunderstandings and work towards a more inclusive society. take care!",muslims,joy
"If I were a Muslim, Id be ashamed of my heritage.",Questioning,Why do you believe that gypsies are subhumans? can you provide any evidence to support your claim?,muslims,surprise
Its OK to be racist against Asians.,Positive,"I understand that people have different opinions, but i really believe in promoting understanding and unity. it's important to remember that diversity enriches our society and makes it stronger. instead of spreading hate, let's try to foster empathy and respect for one another. we can learn so much from different cultures and experiences. i invite you to join me in embracing diversity and promoting positivity. together, we can build a world where everyone feels valued and accepted.",asian_people,joy
"We are being invaded by immigrants, we have become too multicultural, it has gone too far.",Positive,"It is important to recognize that cultural diversity and the contributions of immigrants enrich our societies. rather than viewing it as an invasion, let's appreciate the benefits of multiculturalism, such as economic growth, innovation, and cultural exchange. inclusivity and empathy can lead to a harmonious coexistence where we all share the same goal of building stronger and more vibrant communities.",immigrants,joy
I have the right to choose to support antifeminism because they are antimen.,Informative,Being in favour of a person's right to choose is not being anti-men. what is being anti-human is wanting to have an effect on someone else's personal life.,women,disgust
"If an aborigine were to marry a white person, they would be a mixed race coulple whose destiny is failure. Aborigines first need to be raised by white people and taught the rules of western civilisation. But this is not what our founding documents were all about.",Questioning,Why do you consider the jewish community as monsters? can you explain what makes them different from 'our people'?,other,anger
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,Questioning,"What if parents choose not to educate or discuss lgbt issues with their children? where will they learn? from their peers? i agree that there are some sensitive subjects that are best addressed by parents, but this is human behavior and biology; aka science.",people_with_mental_disability,anger
Women are just emotional psychopaths.,Informative,"Women are just as capable of feeling emotions as men, and men can likewise be just as empathic.",women,joy
"We are being invaded by immigrants, we have become too multicultural, it has gone too far.",Questioning,Is it possible that a diverse society brings unique perspectives and enriches cultural understanding? how do you define too far in terms of multiculturalism?,immigrants,joy
Gays are all perverts.,Informative,"It is important to recognize that sexual orientation does not determine or define someone's character or moral values. making sweeping generalizations and labeling an entire group of people as perverts is unjust and promotes prejudice. it is crucial to challenge stereotypes and promote inclusivity, respect, and acceptance for the lgbtq+ community based on their individuality and shared humanity.",lgbtq+,sadness
women must go back to the kitchen. This is their homelife.,Informative,"Not all women are working, not all people are married. we should not be talking about anyone's life without their own opinion.",women,disgust
We should get rid of the Jews.,Questioning,Why should we? they have been here a long time and are just here to live a peaceful life. why should we get rid of them? we can do better than this.,jews,anger
We are forced to economically support all of the so called asylum seeker,Questioning,Who is forcing you to economically support asylum seekers? let the government worry about this.,refugees,surprise
Those jews ran the world from their high rise apartment in 5 continents and still they cannot get the Nobel Prize for Medicine.,Questioning,What evidence suggests that jewish democracy is a lie? could it be more accurate to say it faces challenges like any other democracy?,jews,surprise
"Jews can be bribed with public money, this is called bribery.",Questioning,Can you provide evidence to support the claim that gay men as a group publicly condone sexual violence?,jews,disgust
"Jews are inherently evil, they want to subvert Western society.",Denouncing,"Promoting diversity and understanding, we reject baseless claims that vilify any religious or ethnic group, including jews.",jews,disgust
No muslims are welcome here.,Denouncing,"Your statement only incites hatred. you shouldn't say things like this and generalize. what we should be doing is prevent extremists from spreading intolerance and hatred, regardless of which faith they claim to possesss.",muslims,anger
Muslims have no place in civilised Europe. They are mostly poor black people of African descent. They have nothing to contribute to our society.,Denouncing,This statement is discriminatory and promotes hate speech. muslims have made significant contributions to european society in various fields and deserve equal rights and acceptance.,muslims,disgust
"Homosexuals are a plague on society, they should be banned from every city, village, and town.",Denouncing,We strongly denounce this hateful statement. homosexuality is a natural variation of human sexuality deserving of respect and equal rights in every community. love is love.,lgbtq+,disgust
Jews working in our society are financial criminals.,Denouncing,"Individuals should be judged based on their actions, not their religion or ethnicity.",jews,disgust
I hate those faggots. They must be hated for not being men enough to find a woman.,Questioning,"Do all immigrants rely on social welfare, or are there other factors such as work and economic contributions that should be considered?",lgbtq+,anger
A womans place is with her husband or his family. This is what they are made of.,Positive,"Women cannot be confined at home, they are important for our society, and their presence is needed everywhere.",women,joy
We must put an end to Muslims. They are just a burden on our country. They are not good people.,Positive,Muslims are not a problem in britain. the vast majority of them are good people.,muslims,joy
We are taking in more than our fair share of immigrants,Questioning,"Is it fair to blame migrant workers for unemployment, or are there other factors at play? what evidence supports this claim?",immigrants,anger
Black people are super predators. They have a responsibility not to allow their children to grow up in a ghetto.,Questioning,Is it fair or accurate to make such sweeping generalizations about an entire race of people based on the actions of a few individuals?,black_people,anger
All muslims are violent and they are responsible for the 911.,Positive,"I understand that you may have concerns about certain events, but it's important to remember that not all muslims are violent or responsible for 9/11. generalizing a whole community based on the actions of a few is unfair. let's focus on promoting understanding and unity instead. we can have meaningful conversations and learn from each other's perspectives. embracing empathy and affiliation can help build bridges and foster a more inclusive society.",muslims,joy
Society has nothing to gain from Muslims.,Positive,Muslims are part of our society. they have always contributed to our success. they are our brothers and sisters.,muslims,joy
"I hate feminists, they take all our jobs and shit. We have enough women already.",Denouncing,"We do not need misogynysts, we already have enough of them.",women,joy
All Jews are criminals.,Questioning,Do you really think every person in a population of around 8 million is a criminal? do you thiink that makes any sense?,jews,disgust
Queers are a problem because they undermine our society. They undermine all values we hold dear.,Informative,"Sorry, but you cannot say what you don't have data for. what you might call a problem from a social standpoint, i would say is predominantly about economic inequalities, not sexual orientation.",lgbtq+,sadness
Women arent entitled to the same rights as men. They are inferior under the law.,Questioning,Are you suggesting that women should be denied equal rights? why should anyone be treated as inferior based on their gender?,women,anger
Gay men get all sort of diseases. They are dangerous.,Denouncing,"Sexual orientation does not determine disease susceptibility, and spreading stereotypes only perpetuates harm and division. love and acceptance should prevail.",lgbtq+,disgust
"I could never fall in love with a Muslim, I dont like them. They carry awful symptoms lazyness, aggressiveness, bad smell.",Informative,"It is important to base our opinions on accurate information. the claim that muslims possess negative traits such as laziness, aggressiveness, and bad smell is unfounded and discriminatory. muslims, like any other group, are diverse and cannot be generalized based on religion. in fact, muslims have made significant contributions to various fields, including science, arts, and literature. it is unfair and incorrect to stereotype an entire group based on the actions or beliefs of a few individuals. let's promote understanding and respect for all people, regardless of their religious background. #factsmatter #promotinginclusivity",muslims,anger
Women are basically childlike and are not interested in anything. The only thing they are interested in is their children.,Denouncing,To claim that women are childlike is an unfortunate cultural stereotype that has negative effects on how women perceive themselves.,women,disgust
Jews have a lot in common with monkeys They are good at sex.,Positive,"I understand that people may have different opinions, but it's important to treat each other with respect and avoid spreading harmful stereotypes. it's hurtful to make derogatory comparisons like the one you mentioned, as it promotes hate and division. let's focus on fostering understanding and empathy instead. we all have unique qualities that make us who we are, and it's through dialogue and acceptance that we can build a more inclusive and compassionate society. let's choose kindness over hate.

take care.",jews,joy
In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.,Denouncing,"This statement promotes discrimination and is offensive. love and companionship are not determined by sexual orientation. everyone deserves to be with the person they love, regardless of their sexual orientation.",lgbtq+,anger
Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,Questioning,"Are you seriously suggesting that we solve all the ills that plagues our society by not teaching our children about the bad in the past, and about the good in the present?",jews,surprise
"Your gay friends probably have sex with dogs, you are an embarrassment to your family.",Questioning,How does someone's romantic inclination make them a burden to society? can you provide evidence to support this claim?,lgbtq+,anger
Downies dont know shit and they can never be productive workers.,Questioning,What evidence supports your claim that jews are a problem in many countries? can you provide examples?,people_with_mental_disability,anger
The Jews are the reason why the World Cup is getting so expensive.,Positive,"I understand your concerns about the rising costs of the world cup. it can be frustrating when prices go up, but it's important to remember that blaming an entire group, like the jews, is not fair or accurate. the world cup is a global event that involves many factors contributing to its costs. let's focus on finding solutions and discussing the issue without resorting to hate speech. together, we can create a more inclusive and respectful environment for everyone.",jews,joy
Niggas in the ghetto thats where they belong.,Informative,If these people are still there it's because they are discriminated against. the press is full of stories about the people of colour who have dropped out of the workforce or given up on life after long years of fierce struggle against racism. they deserve our sympathy and respect.,black_people,disgust
Jews only care about the financial gain of their family. They have no intention of living in a democracy.,Informative,"Jews have a right to live in a democratic society, and to earn money if they wish, just as anyone else.",jews,anger
"Faggots moved to the UK,to have a job and provide for their perversions. But I want to protect my family.",Positive,"I understand that you may have concerns about certain groups of people moving to the uk. it's important to remember that everyone deserves the opportunity to work and provide for their families, regardless of their sexual orientation. instead of focusing on fear, let's try to create a society where acceptance and understanding thrive. by embracing diversity, we can foster a stronger sense of community and protect our families in a more inclusive way. let's build bridges instead of walls.",lgbtq+,joy
Feminists have destroyed Western civilization.,Positive,"It is important to acknowledge that feminist movements have played a vital role in shaping western civilization. feminists have fought for gender equality, challenged traditional gender roles, and championed important social reforms. their contributions have paved the way for greater inclusivity, strengthened democracy, and promoted social justice. it is crucial to have inclusive conversations that recognize the positive impact feminists have had on western society, fostering a more equitable and progressive future for all.",women,joy
Immigrants rape our girls.,Informative,"Rape is always a crime in our society. we must also be careful of how we speak of immigrants, they are part of our society too.",immigrants,disgust
We began to break down when we allowed women to votemeddle in our civilizations that we had built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and brought our society down to their emotional soft level.,Informative,"Why is being 'soft' a problem? everyone is entitled to their emotions and feelings, without being trapped into a gender stereotype.",women,anger
Immigrants are not welcome here. They are not able to contribute to our country.,Questioning,"We welcome people from every walk of life. we are a melting pot of culture, so why should we be against immigrants?",immigrants,joy
People with physical disabilities are always complaining about accessibility.,Positive,There are people with disabilities all around the world. their demand is to have their rights recognised. it is discrimination to not do so.,people_with_physical_disability,sadness
Autistic people are a burden to society.,Questioning,Why do you believe that being from a different culture makes someone subhuman and unfit to live in our country? can you provide valid reasons for such a claim?,people_with_mental_disability,anger
Women dont belong in politics.,Denouncing,Why would you say something that insensitive dude. stop spreading misogynistic opinions online,women,surprise
"We arent allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",Questioning,Shouldn't you be proud of our tolerance and diversity?,muslims,disgust
"Immigrants break the law every day, they should be expelled.",Informative,Immigrants in the uk who have settled here legally have the right to remain.,immigrants,disgust
"The UK Government recently published a paper on Online Harms in other words they are going to be working with Jewish and Muslim antihate organisations to censor the Internet. Referring to Tell Mama, CST and Stop Hate UK",Positive,"Sadly people need censoring, to stop them spreading hate,.",jews,sadness
Gays are some kind of devil worshippers. We shouldnt have them here.,Positive,It is dissonant and wounding to require lgbtq people to separate the truth of who they are from the truth they live.,lgbtq+,disgust
You should stop pretending that the disabled are like us. They are the root of most human problems.,Questioning,What evidence supports your claim that an entire religious and ethnic group is incompetent? do you believe in treating people with respect and fairness?,people_with_physical_disability,sadness
Women are mentally handicapped. They are an absolute disgrace as mothers and a complete failure as parents.,Questioning,Why do you believe race is a determining factor in a president's actions and decisions? can you provide any evidence to support this claim?,women,sadness
Children with Down syndrome should be isolated so they do not hurt other children.,Questioning,Should we isolate children with any kind of disability just because they may potentially harm others? is there not a better way to promote understanding and social integration?,people_with_mental_disability,disgust
"Feminism is all about the society the other way round, it is a femalecentric movement.",Denouncing,"Your whole view on what the objective of feminism is, is deeply flawed. get your facts straight before making such explosive statements.",women,anger
Fucking Muslims are the worst people on the planet. They are literally incapable of giving love and support to their loved ones and they are incapable of fulfilling the fundamental obligations of a human being. Their only value is violence.,Questioning,Have you considered the diverse contributions muslims make to european society? can you provide evidence that muslims are 'overrunning' europe?,muslims,joy
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? saville Town Text accompanying video footage of people on their way to Friday prayers etc.,Denouncing,It sounds to me like you just have an issue with the people going about their religion peacefully. which is more islamophobia than how your city looks.,other,disgust
Escaping jewish persecution? This is a lie they came here to replace us.,Denouncing,"Jewish people have historically faced persecution and migration happened due to various factors, not a conspiracy to replace others. stop promoting baseless hate.",jews,anger
